Equipment ID,EquipmentName,UniqueName,BarcodeNumber,Category,Subcategory,SerialNumber,ModelNumber,Manufacturer,Location,Facility ResQ ID,Facility Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ9476,Bagel Cutter EQ9476,Bagel Cutter,EQ9476F226,Food Preparation Equipment,Smallware,,970-A,Prince Castle,,F226,Tim Hortons #3144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ9532,Bagel Cutter EQ9532,Bagel Cutter,EQ9532F225,Food Preparation Equipment,Smallware,Serial #: EQ,970-A,Prince Castle,,F225,Tim Hortons #3149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ9574,Bagel Cutter EQ9574,Bagel Cutter,EQ9574F224,Food Preparation Equipment,Smallware,AJ,970-A,Prince Castle,,F224,Tim Hortons #3247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ9632,Bagel Cutter EQ9632,Bagel Cutter,EQ9632F223,Food Preparation Equipment,Smallware,EF,970-A,Prince Castle,,F223,Tim Hortons #3584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ9669,Bagel Cutter EQ9669,Bagel Cutter,EQ9669F215,Food Preparation Equipment,Smallware,NE,970-A,Prince Castle,,F215,Tim Hortons #3852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ9756,Bagel Cutter EQ9756,Bagel Cutter,EQ9756F210,Food Preparation Equipment,Smallware,FJ,970-A,Prince Castle,,F210,Tim Hortons #3972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ9760,Bagel Cutter EQ9760,Bagel Cutter,EQ9760F222,Food Preparation Equipment,Smallware,Serial #: HF,970-A,Prince Castle,,F222,Tim Hortons #4007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ9847,Bagel Cutter EQ9847,Bagel Cutter,EQ9847F221,Food Preparation Equipment,Smallware,Serial # : JF,970-A,Prince Castle,,F221,Tim Hortons #4318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ9855,Bagel Cutter EQ9855,Bagel Cutter,EQ9855F220,Food Preparation Equipment,Smallware,,970-A,Prince Castle,,F220,Tim Hortons #4395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ9906,Bagel Cutter EQ9906,Bagel Cutter,EQ9906F219,Food Preparation Equipment,Smallware,TQ3160312A0012,QCS3-1600B,Holman,,F219,Tim Hortons #4665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ9920,Bagel Cutter EQ9920,Bagel Cutter,EQ9920F219,Food Preparation Equipment,Smallware,FJ,970-A,Prince Castle,,F219,Tim Hortons #4665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ9921,Bagel Cutter EQ9921,Bagel Cutter,EQ9921F218,Food Preparation Equipment,Smallware,Serial #: AE,970-A,Prince Castle,,F218,Tim Hortons #4970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ9966,Bagel Cutter EQ9966,Bagel Cutter,EQ9966F214,Food Preparation Equipment,Smallware,Serial # : FJ,970-A,Prince Castle,,F214,Tim Hortons #5556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ17837,Bagel Slicer,Bagel Cutter,A00000004CJ,Food Preparation Equipment,Smallware,178341,702-N,Oliver,NA,F440,Tim Hortons #2017,/equipment/images/images_W32Tme0.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ17802,Bagel Slicer,Bagel Cutter,A00000003MO,Food Preparation Equipment,Smallware,195299,702-N,Oliver,NA,F442,Tim Hortons #3297,/equipment/images/images_qHsi34D.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ22338,Bagel slicer,Bagel Cutter,A0000000C6V,Food Preparation Equipment,Smallware,,,Harvest,"Model 702 N 
Serial 178080",F701,Tim Hortons # 1650,equipment/images/4292018134443.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ22413,Bagel slicer,Bagel Cutter,A0000000C57,Food Preparation Equipment,Smallware,,,Harvest,"Model 702N
Serial  176338",F702,Tim Hortons # 1873,equipment/images/4292018142810.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ22594,Bread Slicer,Bagel Cutter,A0000000BCI,Food Preparation Equipment,Smallware,,,Harvest,M: 702n s: 178449,F665,Tim Hortons #5365,equipment/images/images_C0a6fhV.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ16197,Bagel Toaster,Bagel Toaster,A000000015G,Food Preparation Equipment,Grills/Toasters,NA,NA,Holman,,F369,Tim Hortons #2930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ8080,Bagel Toaster,Bagel Toaster,A00000001M6,Food Preparation Equipment,Grills/Toasters,*Call restaurant to ask*,6220,Neico,,F189,Tim Hortons #2153,/equipment.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ11396,Bagel Toaster,Bagel Toaster,EQ11396F195,Food Preparation Equipment,Grills/Toasters,N/A,6220,Neico,,F195,Tim Hortons #2658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
